Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
Kamal Khan Dam Phase 3,SPI,Energy,Electricity Generation,Small Hydro,"The project scope includes the installation of power producing generators and construction of the Kamal Khan Dam. This is the third phase of the project. It has a total capacity of 8.5 MW. The Kamal Khan Dam is located in Charborjak, Nimroz, Afghanistan. The construction of the third phase of the dam on Helmand River is estimated to cost $80 million, channeled through government budget. The construction started on April 20, 2017. The dam would bring under irrigation 120,000 hectares of land besides producing electricity. Construction will be completed in the fourth quarter of 2019.",South Asia,Low income,1,Afghanistan,,20/03/2017,Construction start,Greenfield,National,Not Applicable,8.5,MW,100,0,80,Not Applicable,0,Not Applicable,80,Not Applicable ,Public,Government of Afghanistan,80,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,19469022208,34656032,17930239400,20815300220
Kandahar Solar Plant,PPI,Energy,Electricity generation,"Solar, PV","The project scope consists of the development and operation of a solar PV plant with capacity of 10-MW, located in Kandahar, Daman district. This is a greenfield, privately - owned facility developed by an Indian company Dynasty Oil & Gas, promoted by Jaguar Overseas Ltd. 
DABS used an innovative reverse auction to solicit bids for the contract and hold down project costs, inviting qualified bidders to participate in the online auction, held on July 16, 2016. The bidders were required to submit bids at a starting price established by DABS, and the lowest bid won the contract.

Dynasty offered the lowest tariff of US$0.073/kWh and thus bagged the contract. DABS and Dynasty signed a 15-year power purchase agreement (PPA) at a tariff of US$0.073/kWh. Since it is a BOT contract, the sponsor will transfer ownership of the project to DABS in 15 years.
Total investment in the project is estimated at $19 million. Dynasty Oil & Gas has started work on the 10-MW solar PV project  with financial support from the United States Agency for International Development (USAID) in the amount of $10 million with the remainder supplied by Dynasty ($9 million).

The project is expected to be completed in August 2018.",South Asia,Low income,,Afghanistan,,,,Greenfield,National,,10,MW,0,100,19,10,,,Not Applicable,,Not Applicable,Refraction Asset Management ($5 / 100% / ..),9,Other United States Agency for International Development (Institutional / International / $10),0,,0,0,0,10,0,10,0,19469022208,34656032,17930239400,20815300220
Lianyungang-Xuzhou Railway,SPI,Transport,Railways,Not Applicable,"The project entails the finance and construction of Lianyungang-Xuzhou railway that starts from Lianyungang in the east, to Xuzhou in the west with a total length of 180.03 kilometers and an investment of RMB 28.17 billion. The construction period is 3.5 years, and it is estimated to be completed by December, 2020. The railway will have 6 stations including Lianyungang Station, Donghai Station, Xiyinan Station, Pizhoudong Station, Houmazhuang Station and Xuzhoudong Station with a speed of 350 kilometers per hour.The sponsor of the project is China Railway Corporation and covers the whole amount of $ 4,148.8 million. Construction started on July 13, 2017.",East Asia and Pacific,Upper middle income,1,China,,13/07/2017,Construction start,Greenfield,National,Not Applicable,180.03,KM,100,0,4148.8,0,Not Applicable,Not Applicable,4148.8,Not Applicable,SOE,China Railway Corporation,4148.8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Karadeniz Powership Osman Khan,PPI,Energy,Electricity generation,Diesel,"The project entails the construction,  deployment and operation of a power ship in Tema fishing Harbor, Ghana. The total output capacity of the power ship is 470 MW and will directly feed into the national grid for 10 years. 
This is a greenfield project initiated on a rental basis between Karadeniz Energy Group and the government of Ghana.  The power facility will supply electricity on a Power Purchase Agreement signed with the Electricity Company of Ghana (ECG) for 10 years. 

?he Powership will start operating in the Tema fishing Harbor in September, and replace the 235 MW Aysegul Sultan powership. The powership will initially use low Sulphur Heavy Fuel Oil (HFO) to generate electricity, and convert to natural gas as soon as local Natural Gas supplies become available, ensuring cost savings for Ghana.",Sub-Saharan Africa,Lower middle income,,Ghana,,,,Greenfield,National,,1470,KM,0,100,0,0,,,Not Available,,Not Applicable,"Digicel ($1.36 / 17% / ..), 

Others ($1.36 / 17% / ..), 

Others ($1.36 / 17% / ..), 

Small local investors ($1.36 / 17% / ..)",Not Available,,0,,0,0,0,0,0,0,0,42689783734,28206728,39566292433,47330016343
Jiaxing City East Reclaimed Water Plant Phase I,PPI,Water,Treatment plant,N/A,"On April 15, 2017, construction of the Jiaxing City East Reclaimed Water Plant Phase I commenced in Jiaxing City, Zhejiang Province. The sponsor was a local private company Beijing Origin Water which won the contract following open competition. The total investment was US$ 62.16 million (RMB 427.32 million) and Origin Water had a 51% stake in it with the remaining shares belonging to the local government. The treatment capacity of the plant was 80000 tons per day. The concession term was 30 years including 2 years for construction.",East Asia and Pacific,Upper middle income,,China,,,,Greenfield,Local/Municipal,,37,MW,49,51,31.7016,0,,,Not Available,,Not Applicable,"Neoen (Not Available / 50% / ..), 

Rekamniar (Not Available / 50% / ..)",Not Available,,0,,0,0,0,0,0,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Kariba South Hydro & Hwange Thermal Power Plant Portfolio Rehabilitation Project,SPI,Energy,Electricity Generation,Large Hydro,"The $120 million project entails the rehabilitiation of the 750MW Kariba South hydro power plant at Kariba Gorge on the Zambezi river and the 920MW Hwange thermal power plant at Hwange, Zimbabwe. Borrower is Zimbabwe Power Co. Financing comprises $120m credit facility arranged by Standard Bank. Financial close took place on 15 May 2017.",Sub-Saharan Africa,Low income,1,Zimbabwe,,15/05/2017,Financial close,Brownfield,National,Not Applicable,980,MW,100,0,120,120,0,Not Applicable,0,Not Applicable,SOE,Zimbabwe Power Co.,0,N/A,Not Applicable,Standard Bank,120,,,,,120,0,16619960402,16150362,12098450700,17845821400
Karibib Solar Power Plant,PPI,Energy,Electricity generation,"Solar, PV","The project involves the construction of a solar plant at Karibib in the Erongo Region of Namibia. The solar plant will feed 5MW into the country's national grid. It will use 19,000 solar panels to generate this capacity. The plant is one of the 14 renewable energy projects commissioned under the interim Renewable Energy Feed-in Tariff programme (Refit) initiated by the Ministry of Mines and Energy and the Electricity Control Board (ECB).

MetDecci Energy Investment from South Africa and  local partners have developed the country's second independent power producer. MetDecci is a conglomerate of Met Group in South Africa that supplies infrastructure for the energy and mining sectors, and Decci from the Czech Republic that develops, owns and manages solar power plants.

Investors signed a 25 year contract with the Karibib Town Council whereby they will share part of their profit with the council when they sell power to NamPower.

The plant has entailed an investment of NAD 120 million.",Sub-Saharan Africa,Upper middle income,,Namibia,,,,Greenfield,National,,25,Cubic meters per day (in thousands),0,100,9.37,0,,,Not Available,,Not Applicable,Anhui Guozhen Environmental Protection Science & Technology Co. Ltd. (Not Available / 80% / ..),Not Available,,0,,0,0,0,0,0,0,0,10947880690,2479713,12409629836,13244597345
Lamu-Garissa-Isiolo road (a component of the Lamu Port South Sudan Ethiopia Transport (LAPSSET) Corridor Project),SPI,Transport,Roads,Not Applicable,"The project entails the construction of the Lamu-Garissa-Isiolo road. Works are located in Kenya. The road is a component of the Lamu Port South Sudan Ethiopia Transport (LAPSSET) Corridor Project. The 530 km road will help develop 10 towns that are along the corridor as well as ease transport of cargo from the Lamu Port. Sponsor is Kenya National Highways Authority. Financing comprises a $590.09 million loan provided by Development Bank of South Africa. The repayment is expected to take a period of 13 years. South Africa based Company-Five Group Construction Proprietary Limited will construct the road. Contract was awarded on November 29, 2017.",Sub-Saharan Africa,Lower middle income,1,Kenya,,29/11/2017,Date of award,Greenfield,National,Not Applicable,530,KM,100,0,590.09,590.09,Not Applicable,Not Applicable,0,Not Applicable,Public,Kenya National Highways Authority,0,Development Bank of South Africa,590.09,Not Applicable,Not Applicable,,590.09,,,590.09,0,70529014778,48461567,41954942417,74938190655
Karnataka Wind Farm,PPI,Energy,Electricity generation,Wind,"The project envisages the development and construction of a 110 MW wind farm in the State of Karnataka, India. Renew Wind Energy (Sipla) is the project company which will implement the power generation facility on behalf of the sponsor - ReNew Power.

This is a new, greenfield project initiated on a BOO mode. Under Karnataka wind power renewable policy, the electricity produced by Independent Power Producers is purchased under a PPA at a minimum rate per Kwh.

According to a submission by Allen & Overy  (H1 2017), Asian Development bank provided a loan of $34.7 million towards the project. Reuters filings have indeed confirmed a tranche of $34.7 million, along with another one of $35.06 million. Hence, total debt funding equals $69.76 million. Equity contribution could not be reliably ascertained but sources indicate paid up capital of the SPV of approximately $10.85 million, hence taken as equity. This equation renders a debt to equity ratio of 85:14.

Financial closure was reported to have reached on 9th of March 2017.",South Asia,Lower middle income,,India,,,,Greenfield,State/Provincial,,50,MW,0,100,80.62,69.76,,,Not Applicable,,Not Applicable,"ACWA Power ($9.95 / 51% / ..), 

Hassan Allam Holding ($3.19 / 17% / ..), 

Al-Tawakol Electrical Group ($3.18 / 17% / ..), 

Chint Group ($3.18 / 17% / ..)",10.85,"ADB (Multilateral / International / $34.7), 

Not Available (Not Available / Not Available / $35.06)",0,,0,34.7,0,0,0,34.7,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Karot Hydropower Plant,PPI,Energy,Electricity generation,"Hydro, Large (>50MW)","Karot Hydropower plant is the forth of the five power stations planned on Jhelum River.  With installed capacity of 720 MW (4×180 MW), the average annual electricity output will be 3436 GWh.  The project is part of the China-Pakistan Economic Corridor (CPEC), which is an under-construction $54 billion economic corridor in Pakistan aimed to connect trade in southern Pakistan with far-western China.  The project includes the construction of a 95m high dam, four headrace tunnels and a new public bridge across the river, as well as a substantial spillway structure to manage flood flows.

Karot Power Company Ltd, a project company, will implement the project under a 30-year BOOT contract. The project is promoted by China Three Gorges Corporation and Associated Technologies, holding 93 per cent and 7 per cent, respectively.

Electricity generated at the hydropower station will be sold to Pakistan’s Central Power Purchasing Agency under a 30-year PPA.

Financing represents approximately 80:20 debt to equity contribution. The IFC has provided an A-loan of $100 million. Furthermore, the Export-Import Bank of China and China Development Bank are also reported to have issued debt funding to the project company. However, no further details on the financing are available as of July 2017. Financial closure occurred on March 13, 2017. Construction of the Karot scheme is due to be completed in 2021.",South Asia,Lower middle income,,Pakistan,,,,Greenfield,State/Provincial,,720,MW,0,100,1700,1360,,,Not Applicable,,Not Applicable,"China Three Gorges Corporation ($316.2 / 93% / ..), 

Others ($23.8 / 7% / ..)",340,"IFC (Multilateral / International / $100), 

EX-IM Bank of China (Bilateral / International / $Not Available), 

China Development Bank (CDB) (Bilateral / International / $Not Available), 

Other Silk Road Fund (Commercial / International / $Not Available)",0,,0,100,0,0,0,100,0,2.79E+11,193203476,2.14E+11,3.05E+11
Ethiopian Electric Utility rehabilitation of electric power distribution lines ,SPI,Energy,Electricity Distribution,Not applicable,"The project entails the construction, finance and operation of the Ethiopian Electric Utility rehabilitation of electric power distribution lines. The location of the project is in Ethiopia . It is includes the  rehabilitation works of electric power distribution lines in 54 towns and construction of distribution centres at 17 industrial parks. Investment stands at around $500 million from Chinese government. The project is being developed by The Ethiopian Electric Utility. Financial close took place ot September 29, 2017.",Sub-Saharan Africa,Low income,1,Ethiopia,,29/09/2017,Financial close,Brownfield,National,Not Applicable,54,Other,100,0,500,500,0,Not Applicable,0,Not Applicable,SOE,Ethiopian Electric Utility,0,Chinese government,500,Not Applicable,0,,,,500,500,0,72374224249,102403196,31952763089,80561496134
Yuangchun City Wastewater PPP Project,PPI,Water,Treatment plant,N/A,"On November 15, 2017, construction of a portfolio of 10 township wastewater treatment plants commenced in Yangchun City, Guangdong Province. The sponsor was a local private company Beijing Origin Water, which won the PPP contract through competitive negotiation. The total investment was US$ 58.90 million (RMB 398 million) and Beijing Origin Water had a 100% stake in the project. The concession term was 25 years including 2 years for construction. The treatment capacity of the facilities was 10300 tons per day and the total length of related sewerage collection pipelines was 150 km.",East Asia and Pacific,Upper middle income,,China,,,,Greenfield,Local/Municipal,,50,MW,0,100,58.9,0,,,Not Available,,Not Applicable,Fotowatio Renewable Ventures (FRV) ($14.4 / 100% / ..),Not Available,,0,,0,0,0,0,0,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Kayes Thermal Power Plant,PPI,Energy,Electricity generation,Diesel,"The project entails the construction and operation of a 90-MW oil-fired power plant in Kayes, western Mali. It will be the West African nation’s first independent power project (IPP) to feed into the national grid.

Albatros Energy Mali (""project company"") will implement the project on behalf of the four sponsors, namely African Infrastructure Investment Managers (AIIM), holding the largest stake in the company at 44 per cent, Burmeister & Wain Scandinavian Contractor (8%),  Investment Fund for Developing Countries (17%) and Redox Power Solutions (31%)holding the remaining 56 per cent.
Once operational, power will be sold to Mali’s national utility Énergie du Mali (EDM) through a 20-year power purchase agreement. The project is being procured under a BOOT basis with a concession period of 20 years.

Financial closure occurred on June 12, 2017. The project finance is structured through debt (73 per cent) and equity contribution (27 per cent). The total investment is estimated at $136.45 million, with debt amount equal to $93.91 million and equity contribution of $42.53 million.
Construction of the project is scheduled to begin in July 2017 and is expected to take 16 months. BWSC was awarded a EUR 90 million ($ 100.3 million) contract to build the plant.",Sub-Saharan Africa,Low income,,Mali,,,,Greenfield,National,,90,MW,0,100,136.44,93.91,,,Not Applicable,,Not Applicable,"Burmeister & Wain Scandanavian Contractor A/S (BWSC) ($3.4 / 8% / ..), 

African Infrastructure Investment Managers (AIIM) ($18.71 / 44% / ..), 

Investment Fund for Developing Countries (IFU) ($7.23 / 17% / ..), 

Redox Power Solutions ($13.18 / 31% / ..)",42.53,"IDB (Multilateral / International / $22.38), 

Other Opec Fund for International Development (Multilateral / International / $16.79), 

EAIF (Multilateral / International / $9.96), 

Other West African Development Bank (Multilateral / International / $22.39), 

Other Islamic Corporation for the Development of the Private Sector (ICD) (Multilateral / International / $22.39)",0,,0,93.91,0,0,0,93.91,0,14034980334,17994837,12978107561,15288163367
Kenyan Hydro Portfolio (16MW) IFC Facility,SPI,Energy,Electricity Generation,Small Hydro,"The project entails the design, construction, operation, and maintenance of seven run-of-the-river small hydropower plants with a total installed capacity of 16MW at various locations in Kenya. Sponsor is the Government of Kenya. The IFC is providing a $ 55 million financing towards the initiative. Financial close took place on September 1, 2017.",Sub-Saharan Africa,Lower middle income,1,Kenya,,01/09/2017,Financial close,Greenfield,Not Applicable,Not Applicable,16,MW,100,0,55,55,0,Not Applicable,0,Not Applicable,Public,Government of Kenya,0,International Finance Corporation,55,Not Applicable,0,55,,,,55,0,70529014778,48461567,41954942417,74938190655
Kesamben Hydroelectric Power Plant,SPI,Energy,Electricity Generation,Hydro,"PLTA Kesamben is one of the breakthroughs in accelerating the Water-to-Energy program with PLTA Karangkates IV and V, and PLTMH Lodoyo. The total capacity of the three PLTAs combined will be 147 MW. PLTA Kesamben is located in River Brantas, East Java.",East Asia and Pacific,Lower middle income,1,Indonesia,,06/01/2017,Financial close,Greenfield,National,Not Applicable,,,100,0,77,Not Available,Not Applicable,Not Applicable,,Not Applicable,Public,,,Not Available,Not Available,Not Available,Not Available,,,,,,,,,8.93E+11,1.02E+12
Kirchner-Cepernic Hydropower Complex 1740 MW,SPI,Energy,Electricity Generation,Large Hydro,"The project consists of the construction of a hydropower complex with the generating capacity of 1,740MW capacity along with two dams named Néstor Kirchner and Jorge Cepernic, and other related infrastructural facilities. The project also has the installation of 11 turbines, generators and related equipments, and the laying of transmission lines. The sponsors are the Argentine government’s energy and environment ministries. The contractor is a  consortium that includes China Gezhouba Group, Electroingeniería and Hidrocuyo. The project cost is approximately $5 billion.The date of award is May 25, 2017.",Latin America and the Caribbean,Upper middle income,1,Argentina,,25/05/2017,Date of award,Greenfield,National,Not Applicable,1740,MW,100,0,5000,Not Applicable,0,Not Applicable,5000,Not Applicable,Public,Argentinian's ministries of environment and energy,5000,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,5.45E+11,43847430,5.30E+11,6.38E+11
Kolaghat coal plant rehabilitation Stage I,SPI,Energy,Electricity Generation,Coal,"The project entails the construction, financing and operation of a coal fired thermal power plant, situated in the district of Purba Medinipur, West Bengal. The capacity of the plant unit is 630MW, West Bengal Power Development Corporation Limited (WBPDCL) is in charge of the project whose cost is estimated at $769.400.000. The execution date of the project is July 23, 2017.",South Asia,Lower middle income,1,India,,23/07/2017,Date of award,Brownfield,State/Provincial,Not Applicable,630,MW,100,0,769.4,N/A,0,N/A,0,Not Applicable,SOE,West Bengal Power Development Corporation Limited,0,N/A,N/A,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Kom Ombo solar power project,SPI,Energy,Electricity Generation,Solar PV,"The project comprises the installation of a photovoltaic power station and its interconnection with the unified electricity grid, including civil works, technical services and supervision of project execution. The total capacity of Kom Ombo solar power plant is 50 MW. The project is located near the city of Kom Ombo, Egypt, Arab Republic. The sponsor is New & Renewable Energy Authority. Financing comprises a $85.17 million loan provided by the Arab Fund for Economic and Social Development and a total state contribution of $8.5 million. The total cost of a project is $115.96 million. Financial close took place on  April 18, 2017.",Middle East and North Africa,Lower middle income,1,"Egypt, Arab Rep.",,18/04/2017,Financial close,Greenfield,National,Not Applicable,50,MW,100,0,115.963,85.1705,0,Not Applicable,30.79,Not Applicable,Public,New & Renewable Energy Authority,30.79,Arab Fund for Economic and Social Development,85.17,Not Applicable,0,85.17,,,,85.17,0,3.33E+11,95688681,2.36E+11,2.35E+11
Kosava Wind Farm Phase I,PPI,Energy,Electricity generation,Wind,"The project envisages the development of a wind farm near Vrsac, Vojvodina in Serbia. The project will be undertaken in two phase - the first one has a capacity of 69 MW, and the second phase 48 MW.
MK Fintel Wind, a joint venture of Serbian vertically integrated conglomerate MK Group and Italy's Fintel Energia Group. The sponsors hold 46 per cent and 54 per cent, respectively.

The consortium started the construction of the plant in mid-June 2017 and expects to complete it by the end of 2018.

MK-Fintel Wind signed an indicative term sheet for financing of 82 million euros ($91.85 million) plus a 4 million euro revolving credit line in October 2016. The financing relates to the 69 MW, phase I, Kosava Wind Farm. However, financial details were not available, but Serbian lender AIK Banka has reported it had provided unspecified financial support for the construction of the Kosava wind farm. The second phase capacity is expected to be 59.7 MW,  or 128.7 MW combined.

Financial closure assumed to be the commencement of construction - 14 June 2017. Estimated investment is $138.8 million, and given that MK Fintel arranged $91.8 million debt financing, the consortium will need to contribute approximately $47 million towards the project.",Europe and Central Asia,Upper middle income,,Serbia,,,,Greenfield,National,,69,MW,0,100,138.8,91.8,,,Not Applicable,,Not Applicable,"MK Group ($21.6 / 46% / ..), 

Fintel Energia Group ($25.4 / 54% / ..)",47,"Other Commercial Bank AIK Banka (Commercial / Local / $Not Available), 

UniCredit (Commercial / International / $Not Available), 

Erste Bank (Commercial / International / $Not Available), 

Other Zagrebacka Banka DD (Commercial / International / $Not Available), 

EKF Denmark (Bilateral / International / $Not Available)",0,,0,0,0,0,0,0,0,38299854688,7058322,46466728667,41431648801
Kostolac B coal-fired power plant Unit 3 Phase 2,SPI,Energy,Electricity Generation,Coal,"The project scope includes the construction and finance of a new 3rd unit at the Kostolac B coal-fired power plant in Serbia. The project is located in Kostolac, Viminacium, Branicevo, Serbia. The capacity of the project is 350 MW. It is being constructed by China Machinery Engineering Corporation (CMEC). The sponsor is ElektroprivredaSrbije (EPS) and covers $92 million while the remaining part of the cost for the completion ($521 million) is secured by China Exim Bank. Contract was awarded on November 20, 2017 and works are expected to be completed by 2020.",Europe and Central Asia,Upper middle income,1,Serbia,,21/11/2017,Construction start,Brownfield,National,Not Applicable,350,MW,100,0,613,521,0,Not Applicable,92,Not Applicable,SOE,ElektroprivredaSrbije (EPS),92,China Exim Bank,521,Not Applicable,0,,521,,,521,0,38299854688,7058322,46466728667,41431648801
Dabie Mountain General Aviation Airport,PPI,Transport,Airports,N/A,"The construction status of the Dabie Mountain General Aviation Airport was reported in an article on February 14, 2017. It was invested by a local private company Tuncang Group. It seemed to be a direct investment project. The total investment was US$ 51.80 million (RMB 350 million).",East Asia and Pacific,Upper middle income,,China,,,,Greenfield,Local/Municipal,,85.2,KM,0,100,51.8,0,,,Not Available,,Not Applicable,Brij Gopal Construction ($10.6 / 100% / ..),Not Available,,0,,0,0,0,0,0,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Kostolac wind farm ,SPI,Energy,Electricity Generation,Large Hydro,"The project entails the construction, financing and operation of a wind park. The project is located in Kostolac, Serbia. The total capacity of the facility is 66 MW. The sponsor is Electric Power Industry of Serbia and covers $17.8 million of the whole cost while the remaining amount of $95 million coming from KfW. Contract was awarded on November 29, 2017 and works are expected to be completed by 2020.",Europe and Central Asia,Upper middle income,1,Serbia,,29/11/2017,Financial close,Greenfield,National,Not Applicable,66,MW,100,0,112.8,95,0,Not Applicable,17.8,Not Applicable,SOE,ElektroprivredaSrbije (EPS),17.8,KfW,95,Not Applicable,0,,95,,,95,0,38299854688,7058322,46466728667,41431648801
Kanwas - Khanpur - Aklera section SH-74,PPI,Transport,Roads,N/A,"The project involves up-gradation of Kanwas-Khanpur-Aklera highway road from 1.7 km to 86.9 km on SH-74 in Kota district, Rajasthan. B. G. (Rajasthan) Highway Private Limited, a project company wholly owned by Brij Gopal Construction, will implement the project under a Rehabilitate Operate Transfer modality. This is a brownfield project and once the concession period lapses, the project company will transfer the ownership of the project to the state. 

The concession period is 17 years including construction period of 2 years. Concession contract was awarded after a competitive bidding process based on lowest cost of construction and operation.
The project agreement has been concluded with the NHAI within the framework of Hybrid annuity model. Under the HAM model, private developers and the state share the cost of construction in approximately debt/grant/equity ratio of 40/40/20  or 40% of the bid project cost shall be payable to the concessionaire by the authority in five equal installments linked to physical progress of the project. Concessionaire shall have to initially bear the balance 60% of the project cost through a combination of debt and equity.

The project total cost was reported at $51.47 million and is being funded through debt/grant and equity. Of the total cost the authority will contribute 40% in availability payments in 5 equal installments, with the sponsor providing $10.6 million in equity and arranging $20.28 million in debt/debentures. Axis Trustee Services (Axis Bank) is the debenture trustee to the debenture holders. Financial close occurred on 2 August 2017.",South Asia,Lower middle income,,India,,,,Brownfield,National,,200,Throughput (thousands of tons per year),0,100,51.47,20.28,,,Not Applicable,,Not Applicable,Comvex SA ($12.8 / 100% / ..),10.6,Axis Bank (Commercial / Local / $20.28),0,,20.28,0,0,0,0,0,20.28,2.26E+12,1324171354,1.82E+12,2.60E+12
Project to Reinforce Multiple-Use Water Supply along the Louga-Thiès-Dakar Road from the Keur Momar Sarr Treatment Plant,SPI,Water,Water Utility,Not applicable,"The project scope includes building a treatment plant in Keur Momar Sarr and reinforcing multiple-use water supply along the Louga-Thiès-Dakar Road. It will be jointly financed (in parallel) by the French Development Agency (AFD), the European Investment Bank (EIB), the Islamic Development Bank (IsDB), the World Bank (WB), the African Development Bank (AfDB) and the Senegalese Government. The main expected outputs are: the construction of a third water treatment and pumping plant in Keur Momar Sarr (KMS3) with a production capacity of 100,000 m3 /day; laying of a distribution pipeline between the treatment plant and Thiès and between Thiès and Dakar over a distance of about 216 km; the construction of two water storage reservoirs, each with a capacity of 10,000 cubic metres in Thiès, and three distribution reservoirs in Thiès, the Blaise Diagne International Airport (AIBD) and Diamniadio; installation of anchor supply and distribution systems; extension of distribution systems and installation of 85,000 social connections; construction of support infrastructure for the production and marketing of agricultural and market garden products; and design of an information, education and communication (IEC) programme to sensitize and assist the population before, during and after project implementation. Sponsor is Senegal National Water Corporation (SONES). Eiffage, through its subsidiaries Eiffage Sénégal and Eiffage Génie Civil, has been entrusted with the second work package of the Keur Momar Sarr 3 (KMS 3) drinking water treatment and distribution project. Total investment is $430 million. Construction started on November 21, 2017. ",Sub-Saharan Africa,Low income,1,Senegal,,21/11/2017,Construction start,Greenfield,National,Not Applicable,216,KM,100,0,430,412.96,0,Not Applicable,17.25,Not Applicable,SOE,Senegal National Water Corporation (SONES),17.25,"AfDB(55.59), AFD(104), Islamic Development Bank(141.623), EIB(111.451)",412.96,Not Applicable,0,308.664,104.296,,,412.96,0,14683697631,15411614,14390776644,16374743753
Constanta Port Cereal terminal,PPI,Transport,Ports,N/A,"The project scope involves the development and operation of a Cereal terminal at Constanta Port,  Berth 80. Storage capacity will be 200,000 tons (calculated for wheat). The new terminal is part of the Port Master Plan and will benefit from a 19-meter long draft boat for grain where 120,000 to 130,000 tdw ships will be operated. Project development will take about 14-16 months to complete.

Comvex SA is the sole owner and operator of the Cereal Terminal.

The total investment in the grain terminal amounts to approximately $50.4 million (EUR 45 million) and is being funded through debt and equity in 75:25 ratio. The syndicated loan was provided by Raiffeisen Bank and EximBank of Romania to Comvex. Each bank provided an equal share of EUR 16.8 million ($18.8 million). The investment loan given by the banking consortium also benefit from a guarantee issued by EximBank on behalf of the Romanian state, valued at EUR 18.6 million ($20.8 million). The project finance loan has a 10-year maturity.  

Comvex also received funds from the capital market, which allowed it to bring an EUR 8 million (nearly $9 million) contribution out of the total equity amount of $12.8 million. 
Contractual financial closure occurred in end of May 2017, and definitive Financial closure is believed to have reached by end of year 2017.",Europe and Central Asia,Upper middle income,,Romania,,,,Greenfield,National,,22.6,MW,0,100,50.4,37.6,,,Not Applicable,,Not Applicable,Guris Group (Not Applicable / 100% / ..),12.8,"Raiffeisen (RZB) (Commercial / International / $18.8), 

Other Export Credit Agency EXIM Bank of Romania (Bilateral / International / $18.8)",18.8,,18.8,0,18.8,0,0,37.6,0,1.88E+11,19699312,1.84E+11,2.12E+11
Southwest Integrated Transport System (ITS),PPI,Transport,Roads,N/A,"The project involves the construction of the Southwest Terminal of the Integrated Transport System (ITS) project in Manila, the Philippines.  It will connect passengers coming from the Cavite side to other transport systems such as the future LRT Line 1 South Extension, city bus, taxi, and other public utility vehicles that are serving inner Metro Manila.

The project will include passenger terminal buildings, arrival and departure bays, public information systems, ticketing and baggage handling facilities, and park-ride facilities.

The Department of Transportation and Communications (DOTC) has appointed MWM Terminals as preferred bidder for the Ps2.5 billion ($50 million) project, which is being procured under a 35-year-plus-construction build, operate and transfer concession. The consortium comprises Megawide Construction Corp and WM Property Management.",East Asia and Pacific,Lower middle income,,Philippines,,,,Greenfield,National,,49,MW,0,100,50.03,#VALUE!,,,Not Available,,Not Applicable,360 Energy ($15 / 100% / ..),Not Available,,0,,0,0,0,0,0,0,0,3.05E+11,103320222,2.24E+11,3.14E+11
Kovacica Wind Farm,PPI,Energy,Electricity generation,Wind,"The project envisages the construction and operation of a 104.5 MW wind farm in Kovacica, Vojvodina.  Electrawinds K-Wind doo is the special purpose vehicle that undertakes the development of the project. Enlight Renewable Energy, part of Eurocom Group, is the sole sponsor and developer of the plant.
The project will be an independent power producer (“IPP”) and all the output generated will be sold to the country’s single buyer, Electric Power Company of Serbia, under a 12 year Power Purchase Agreement (“PPA”). The purchasing power agreement (PPA) was signed in October 2016. 

The project is worth EUR 189 million ($225.2 million) and is being funded through debt and equity in 75:25 ratio. The debt package in the amount of EUR 142 million ($169.2 million) will be financed by parallel loans from Erste Group Bank AG (supported by the German Export Credit Agency Euler-Hermes), Erste Bank Serbia, and the European Bank for Reconstruction and Development (EBRD). The Erste Group with the provision of EUR 93 million, and an additional EUR 20 million for VAT (totaling $134.6 million) with the remaining (EUR 29 million) $34.6 million being provided by EBRD.  Enlight Renewable Energy will contribute $56 million in equity. 

It is expected to be operational at the end of 2018.  Financial closure was achieved in September 25, 2017.",Europe and Central Asia,Upper middle income,,Serbia,,,,Greenfield,National,,104.5,MW,0,100,225.2,169.2,,,Not Applicable,,Not Applicable,Eurocom Group ($56 / 100% / ..),56,"Erste Bank (Commercial / International / $134.6), 

EBRD (Multilateral / International / $34.6)",0,,134.6,34.6,0,0,0,169.2,0,38299854688,7058322,46466728667,41431648801
