"","Project.Name","Project.Description","Sub.sector","Technology","Country","Capacity","Capacity.Unit","Region"
"53","Don Jose Solar Farm","The project envisages the construction and operation of  Don José Solar Farm located in  San Luis de la Paz, state of Guanajuato. Don Jose will have an installed capacity of 238 MW and once completed will be able to produce 539 GWh per year, equivalent to the annual energy consumption needs of around 410,000 Mexican households, while avoiding the emission of over 245,000 tonnes of CO2  into the atmosphere.

 The project will be supported by a contract providing for the sale to Mexico’s Federal Electricity Commission (Comisión Federal de Electricidad or CFE) of both specified volumes of energy over a 15-year period and the related clean certificates over a 20-year period. Enel was awarded Don José in the long-term public tender held in Mexico last year based on lowest tariff proposed by private developer. 

On April 4th, 2017 Enel commenced construction of the 238 MW direct current (DC) Don José solar plant. Enel will be investing approximately 220 million US dollars in the construction of Don José, which is expected to enter into operation in 2018. No debt financing details are available.","Electricity generation","Solar","Mexico","238","MW","Latin America and the Caribbean"
"54","Don Sahong Hydropower","The project entails the financing, construction and operation of a 260-MW hydro power facility located at Mekong River in Lao PDR. Project is being developed by Don Sahong Power Co. Ltd, a special purpose vehicle owned by Mega First Corp. at 80% and Électricité du Laos (EDL) at 20%.

This is a greenfield project under Build Operate and Transfer modality. 

Total investment is estimated t $500 million. Sponsor Mega First Corp. secured loan facilities totaling $150 million with various financial institutions for term loan facilities totaling $85 million and an Islamic financing facility of up to $65 million. No other financing details are disclosed as of January 2018.","Electricity generation","Hydro","Lao PDR","260","MW","East Asia and Pacific"
"55","Duyen Hai 2 Thermal Power Plant","The project entails the financing, construction, operation and maintenance of a coal-fired power plant in Duyen Hai town, Tra Vinh Province. The Duyen Hai 2 thermal power plant will have two turbines with a total capacity of 1,200 MW. The facility is one of the four power plants to be developed at the Duyen Hai Power Centre in Tra Vinh, which will have a combined capacity of over 4,300 megawatts once in operation.

Janakuasa Vietnam is the project company that is leading the project on behalf of the sponsor - Malaysian company Teknik Janakuasa Sdn Bhd, part of Malakoff Bhd. Project is being implemented on a Build - Operate and Transfer basis. The generated electricity will be supplied to the national grid under a long - term (25 years) PPA with  Electricity of Vietnam (EVN).  Concession awarder is Ministry of Planning & Investment. Equipment supplier is Alstom.

Total project investment is estimated at around $2.4 billion and is funded through debt and equity in 75:25 ratio. Financing comprises $1.8 billion term loan arranged by the Ex-Im Bank of China. The remaining cost is covered by equity contribution in the amount of $600 million.
Contractual financial close took place on 2 June 2017, and definitive financial close in the following months.","Electricity generation","Coal","Vietnam","1200","MW","East Asia and Pacific"
"56","Dynagreen 610MW Waste-to-Energy Project","The project entails the development of a waste-to-energy (WtE) facilities in China. The capacity of the plants is 610GW. The total project cost is $90.7 million. Borrower is Dynagreen Environmental Protection Group. Sponsor is Beijing State-Owned-Assets Management. Financing consists of a 5-year term loan. MLAs are MUFG, BNPP, CTBC, Cathay United Bank and Shanghai Pudong Development Bank. Lenders are MUFG, BNP Paribas, Chatay United Bank, CTBC Bank, Shanghai Pudong Development Bank, Fubon Bank, Hang Seng Bank, Shinhan Bank, Sumitomo Mitsui Trust Bank, and KDB. Facility agent is BTMU. Financial close occurred on 28 February 2017.","Electricity Generation","Waste","China","69.7","MW","East Asia and Pacific"
"57","EDF EN Benban PV plant","The project entails the construction and operation of a 50 MW solar farm in Benban, Aswan governorate in Upper Egypt. The installation was selected in Round 2 of Egypt’s FIT scheme and will sell power to local utility Egyptian Electricity Transmission Company (EETC) under a 25-year contract. The solar park will be located at the 1.8 GW Benban solar complex.

EDF Energies Nouevelles, an EDF Group company, and  the Egyptian manufacturing company Elsewedy Electric are sponsoring the project.
This is a greenfield project initiated on a BOO basis with a predetermined tariff rate.

It was reported that the project is being financed by the European Bank for Reconstruction and Development (EBRD) and Proparco in equal amounts - $27.75 million each.  The remaining cost is covered with equity ($18.5 million). Total investment in the plant is estimated at around $74 million.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"58","Efeler Geothermal plant expansion","The project entails the development of an additional facility of 22.6 MW adjacent to the 170 MW Efeler Geothermal plant in Germencik,  Aydin province. Gurmat Electric Generation is the project company implementing the project.

Sponsor of the project is Guris Group via Gurmat Electrik.

Since no PPA is known to be signed with the project company, the electricity from the additional facility is considered to be sold to the wholesale energy market in Turkey. This approach is common in Turkey as wholesale market prices are more competitive.

Total investment equals $50 million and is being funded by two commercial banks, namely Turkey Is Bank and TSKB each providing $25 million in debt financing. 
Financial closure occurred on 7 March 2017.","Electricity generation","Geothermal","Turkey","19.8","MW","Europe and Central Asia"
"59","Eight Rivers Energy","The project envisages the construction and operation of a 37-MW solar PV plant in Paradise Park, Westmoreland. The venture is led by Eight Rivers Energy Co Ltd (project company).  

This is a greenfield project undertaken on a build, own and operate (BOO) basis for 20 years. 

The 37 MW project is being developed by French independent power producer Neoen, which owns a 50% stake in the plant. The remaining 50% is held by business developer Rekamniar.
The renewable energy procurement  was launched by the Jamaican Office of Utilities Regulation (OUR) in July 2015. In May 2016, the OUR announced it had selected Eight Rivers as the winning bidder. The company proposed the lowest electricity price of 8.54 US cents per kWh. Overall, 19 bids, totaling nearly 500 MW, including 11 solar PV projects were submitted to the OUR. The duration of the PPA is for 20 years (until 2038).

The project has secured financing through USAID through the Clean Energy Finance Facility for the Caribbean and Central America (CEFF-CCA).

The facility is estimated to cost US$60 million (J$7.5 billion). As of December 2017, no further financing details are available. However, construction works have initiated in mid December being financed with equity contributions. The construction phase will last a year and expected commissioning is for December 2018.","Electricity generation","Solar","Jamaica","50","MW","Latin America and the Caribbean"
"60","Ejuva One and Ejuva Two Solar Plants","The project envisages the  construction, ownership, operation and maintenance of two solar energy generating facilities, with a capacity of 5 MW each, in the Omaheke region in Namibia. Ejuva One and Ejuva Two are located side by side on a 35-hectare site, about 1 km outside of the town of Gobabis, 
and are being constructed and managed as one project.

The electricity output will be sold to the Namibia Power Corporation (Pty) Ltd under a 25-year Power Purchase Agreement. Both Projects were awarded through the Renewable Feed in Tariff Program.  The plants were among the 14 independent power producers that signed a PPA among 27 shortlisted bidders. Bidding criteria for the concession contract was lowest tariff per unit of energy. 

Ejuva One Solar Energy (Pty) Limited, and Ejuva Two Solar Energy (Pty) Limited are the SPVs that will undertake the project on behalf of the sponsor CIGenCo S.A Limited (Consolidated Infrastructure Group).

Total investment in the plants stands at $32 million and is financed via debt and equity in 78:22 ratio. Project financing involves a non-shareholder loan of $25 million provided by Investec Bank. The sponsor, CIGenCo, provided $7 million in equity contribution. Financial close date was not specifically reported but it was announced that in September 2017 Ejuva One and Two Solar Energy reached commercial operation.  It was anticipated that the ring-fenced long-term project finance will be completed by December 2017.","Electricity generation","Solar","Namibia","27.3","MW","Sub-Saharan Africa"
"61","El Corti Wind Farm","The project entails the construction, operation and maintenance of a 98.6 MW wind farm located south of the province of Buenos Aires, northwest of the city of Bahia Blanca, Argentina. Greenwind S.A. is the project company leading the project. The sponsor is Pampa Energia and US fund manager Castlelake.

The IAIC has provided $31.5 million in an A loan, while ICBC and Santander participated in a B loan syndicated by IAIC of $72.5 million.  The total project cost was not disclosed, but was estimated by the IAIC at $175 million earlier this year (2017). El Corti was awarded a 20-year power purchase agreement (PPA) with Argentina's wholesale electric market administrator (CAMMESA) in October 2016. The construction period of  the El Corti wind farm will be approximately 18 months and the construction is slated to begin by the first quarter of 2017.

Financial close was reached on 20 October 2017.","Electricity generation","Wind","Argentina","98.6","MW","Latin America and the Caribbean"
"62","El Cortijo wind farm","The project scope comprises the construction and operation of a 168 MW wind farm, located in the state of Tamaulipas, 40 kilometers south of Reynosa. It is being developed by the Spanish company Acciona. 
The plant will have fifty-six AW 125/3000 turbines of Nordex/ACCIONA Windpower technology, each one with rated power of 3 MW.  The installation is expected to enter service in August 2018 and will generate the equivalent of the electricity consumption of around 350,000 Mexican homes, avoiding the emission of over 366,000 metric tons of CO2 to the atmosphere per year.

It is the first renewable energy project resulting from the electric power auctions organized in Mexico within the framework of the country’s Energy Reform. ACCIONA won the first tender a total of 585.5 GWh of electric power and the corresponding clean energy certificates, which will be supplied by this wind farm. The duration of the PPA is for 15 years.

El Cortij represents an investment of $221 million (210 million euros). No other financial details are available. Construction works commenced on March 2, 2017 and thus considered financial close data.","Electricity generation","Wind","Mexico","168","MW","Latin America and the Caribbean"
"63","El Mezquite Wind Farm","The project involves the construction and operation of a 250-MW wind power plant located in Nuevo Leon, Mexico. The project is being developed by Cubico Sustainable Investments (“Cubico”). This is a greenfield project that will benefit from a long term PPA awarded in Mexico’s second long-term electricity auction in September 2016.

El Mezquite wind project will be financed by the North American Development Bank and the Mexican development banks, Bancomext and Banobras. The total amount of non-recourse project finance debt raised is $220 million in equal split between the three lenders. The loan has a tenor of 20 years.  Along with the project financing,  Cubico will invest its own resources (equity contribution) to the project amounting to $112 million for a debt to equity ratio of 66:34. Financial close was achieved on 8th of August 2017.","Electricity generation","Wind","Mexico","250","MW","Latin America and the Caribbean"
"64","Elsewedy Benban Solar Plant","The project entails the construction and operation of a 50 MW solar farm in Benban, Aswan governorate in Upper Egypt. The installation was selected in Round 2 of Egypt’s FIT scheme and will sell power to local utility Egyptian Electricity Transmission Company (EETC) under a 25-year contract. The solar park will be located at the 1.8 GW Benban solar complex. This is the second 50 MW solar plant that is being developed by the two sponsors in Benban FiT scheme, round 2.

EDF Energies Nouevelles, an EDF Group company, and  the Egyptian manufacturing company Elsewedy Electric are sponsoring the project.
This is a greenfield project initiated on a BOO basis with a predetermined tariff rate.
Project is being financed by the European Bank for Reconstruction and Development (EBRD) and Proparco in equal amounts - $27.75 million each.  The remaining cost is covered with equity ($18.5 million). Total investment in the plant is estimated at around $74 million.","Electricity generation","Solar","Egypt, Arab Rep.","30","MW","Middle East and North Africa"
"65","Essel Jalgaon Solar Plant","The project envisages the construction and operation of a 20-MW solar PV plant in Parbhani District, Maharashtra. Project is being undertaken by Flexirural Urja Jalgaon Ltd, an SPV owned by Essel Group.

This is a greenfield project initiated on a BOO basis (license scheme). The company has entered into a 25-year Power Purchase Agreement (PPA) with Solar Energy Corporation of India at a
fixed tariff of Rs.4.43/kWh. 

Total investment in the project is estimated at $21.7 million and is being funded through debt and equity in 71:29 ratio. Financing comprises $15.4 million 17-year-11-month term loan and $6.3 million equity. Debt provider is L&T Infrastructure Finance. Financial close took place on 17 July 2017.","Electricity generation","Solar","India","10","MW","South Asia"
"66","Fiambala, Saujil and Tinogasta solar  parks","The project entails the development and operation of three solar PV parks located in the province of Catamarca, Argentina.  Fiambala, Saujil and Tinogasta have respective capacities of 11 MW, 23 MW and 15 MW, for a total of 49 MW. The sole owner and developer is 360 Energy. 

This is a greenfield project initiated on a BOO basis.

The Fiambala, Saujil and Tingasta solar plants parks were awarded in the RenovAr 1.5 national tender with  $53.7, $51.9 and $53.4 per MWh for a period of  20-years, respectively. The criteria in the bidding process was the lowest tariff per MWh.
It is estimated that the investment cost for all three plants will be around $50 million. The funding will come from debt (70%) and equity (30%).  Four local banks will finance the debt portion. The specific lenders are not currently disclosed.  

The Fiambala, Saujil and Tingasta solar plants parks were awarded in the RenovAr 1.5 national tender with  $53.7, $51.9 and $53.4 per MWh 20-year contracts respectively.","Electricity generation","Solar","Argentina","20","MW","Latin America and the Caribbean"
"67","Fomi multi-purpose dam","The project entails the construction of a multi-purpose dam in Guinea. Fomi project would provide up to 6.1 billion m3 water storage in Guinea, generate 90MW of renewable electricity, increase downstream dry-season irrigation potential by 211,000 ha and maintain dry-season environmental flows (40 m3/s). Sponsor is Government of Guinea. Two Chinese companies will construct the project. Contract was awarded on July 26, 2017.","Electricity Generation","Hydro","Guinea","90","MW","Sub-Saharan Africa"
"68","FRV Andhra Pradesh Solar Farm I","The project involves the development and operation of a 50-MW solar PV farm in the state of Andhra Pradesh. FRV Andhra Pradesh Solar Farm I Pvt. Ltd. is the special purpose vehicle responsible for the project. This is a greenfield project under a BOT modality. 

PPA was awarded to the project in a reverse auction, conducted by Solar Energy Corporation of India, Ltd. (SECI). The auction falls under the National Solar Mission Program, which was launched by the Government of India to achieve 100 GW of installed solar capacity in the country by 2022. The contract has a duration of 25 years.  The criteria for granting the contract was lowest tariff offered by sponsors. 

Total investment for the project is estimated at $56.4 million and is being funded through debt and equity in 75:25 ratio. IFC is the sole lender to the project with $42.3 million with FRV providing $14.1 million. Financing closed on November 24th, 2017.","Electricity generation","Solar","India","24","MW","South Asia"
"69","FRV India Solar Park II","The project involves the development and operation of a 50-MW solar PV farm in the state of Andhra Pradesh.  FRV India Solar Park II Pvt. Ltd. is the special purpose vehicle responsible for the project. This is a greenfield project under a BOT modality. 

PPA was awarded to the project in a reverse auction, conducted by Solar Energy Corporation of India, Ltd. (SECI). The auction falls under the National Solar Mission Program, which was launched by the Government of India to achieve 100 GW of installed solar capacity in the country by 2022. The contract has a duration of 25 years.  The criteria for granting the contract was lowest tariff offered by sponsors. 

Total investment for the project is estimated at $57.7 million and is being funded through debt and equity in 75:25 ratio. IFC is the sole lender to the project with $43.3 million with FRV providing $14.4 million in equity. Financing closed on December 10th, 2017.","Electricity generation","Solar","India","50","MW","South Asia"
"70","Fuluasou small hydropower plant (700 kW)","The project entails the construction of Fuluasou small hydropower plant. Works are located in Samoa. The total capacity of the facility is 700 kW. The small hydro project is part of Samoa's effort to reduce its dependence on diesel generated power. Sponsor is the state-owned Samoa Electric Power Corporation. The Samoan government is covering the majority of Fuluasou's costs with a $5.63 million investment, though the EU is adding a $5.06 million grant and New Zealand a $2.49 million grant. Total investment amounts to $13.18 million. Construction started on March 17, 2017.","Electricity Generation","Hydro","Samoa","0.7","MW","East Asia and Pacific"
"71","Funing County Xinhua Town Solid Waste Pyrolysis Gasification Power Plant","On February 27, 2017, a local private company  Yunnan Huanchuangbili Environmental Protection Technology Co., Ltd. signed a Build Operate Transfer contract with the Funing County Government to finance, build and operate a solid waste pyrolysis gasification power plant in Funing County, Yunnan Province. Construction commenced soon after contract signature. The total investment was about US$ 21.78 million (RMB 150 million) and Huanchuangbili had a 100% stake in the project. The concession term was not reported. Neither was the power generation capacity of the plant.","Electricity generation","Waste","China","5.25","MW","East Asia and Pacific"
"72","Gale-Le-Koma geothermal project","The project entails the construction, finance and operation of a new Geothermal Power Plant located in Lake Assal region, Djibouti. The total capacity is expected to be 15 MW. The sponsor is Djiboutian Geothermal Energy Development Office (ODDEG) while the finance of $27 million is provided by Kuwait Development Fund (KDF) as a grant. Contract was awarded on July 24, 2017.","Electricity Generation","Geothermal","Djibouti","15","MW","Middle East and North Africa"
"73","Gas Engine-based Power Plant","The project entails the construction of the first utility-scale gas engine-based power plant in Papua New Guinea. The capacity of the facility is 58MW. The total project cost is $115 million. The gas-to-electric POM power station is expected to be completed in Q4 2018. The bid was won by Wartsila and Australian EPC partner Clough Ltd. Wartsila and Australian EPC partner Clough Ltd. Date of award took place on April 12, 2017. ","Electricity Generation","Natural Gas","Papua New Guinea","58","MW","Sub-Saharan Africa"
"74","Gas-Fired Power Plant","The project entails the construction of 96 gas-fired power plants (Pembangkit Listrik Berbasis Tenaga Gas) in 18 provinces with a total capacity of 9,735 MW. The project would have a significant impact on electricity availability and economic growth for the islands. This project is supported in RUPTL 2017-2026 (Ministry of Energy and Mineral Resources No. 1415 K / 20 / MEM / 2017), which stated that PT PLN is obliged to prioritize the construction of mine-mouth gas-fired power plants. Total project cost is $ 18,131 million. Sponsor is PT PLN. Financial close took place in 2017.","Electricity Generation","Natural Gas","Indonesia","9735","MW","East Asia and Pacific"
"75","GNPower Dinginin Unit 2","The project entails the construction and operation of Unit 2 of the GNPower Dinginin plant. Both units have installed capacity of 668-MW, thus rendering the total output to  1,336-MW. Unit 1 closed financing and started construction in September 2016. GNPOWER Dinginin Ltd. Co. is the project company responsible for the implementation of the project. GNPower Dinginin Ltd. Co. is a joint venture of AC Energy (Ayala Corp subsidiary) with 50%,  Therma Power (Aboitiz Power subsidiary) with 40% and Power Partners with 10%. Power facility is located in the Municipality of Mariveles, Luzon Island.

The coal - fired plant will be developed on a BOO basis. 
LUELCO (La Union Electric Cooperative. Inc.) solicited proposals from power generators in 2016. As a result, GNPower's offer appeared to be the best with regards to rate and least cost per kwh.

Coal is to be sourced under long-term offtake agreements with several Indonesian suppliers. Electricity will be sold to offtakers (several electric cooperatives) under long-term power purchase agreements (20 years). Besides the long - term PPAs, the plant will supply electricity to the Wholesale Electricity Spot Market.

Total investment is estimated at $1.7 billion. The Ps22 billion ($436 million) peso-denominated, 12-year limited-recourse debt financing portion was provided by BDO Unibank, Rizal Commercial Bank, Development Bank of the Philippines, Security Bank Corporation, China Banking Corporation and  Bank of the Philippine Islands. No further details on equity contribution and additional debt are available. 
Financial close was reached on December, 14 2017.","Electricity generation","Coal","Philippines","668","MW","East Asia and Pacific"
"76","Gribo-Popoli hydropower","The project entails the construction, finance and operation of  Gribo-Popoli hydropower plant on Sassandra River in Cote d'Ivoire. The location of the project is in Western Africa, 15 km downstream of Soubre. Investment stands at around $307 million.The facility is expected to be completed within 40 months (commissioning in early 2021). The project is being constructed by The Chinese company Sinohydro. The Gribo-Popoli hydropower project costs, as follows: $307 million with $261 financed by EXIMBANK, $46 funding by the Ivorian State. Financial close took place on March 11, 2017.","Electricity Generation","Hydro","Côte d'Ivoire","112","MW","Sub-Saharan Africa"
"77","Guangxi Qiquan Biomass Power Plant","On May 23, 2017, construction of a biomass power plant commenced in Yizhou City, Guangxi Zhuang Autonomous Region. The sponsor of this Build Operate Transfer project was a local private company Shandong Qiquan Group. The total investment was US$ 116.37 million (RMB 800 million) and Shandong Qiquan had a 100% stake in the project. The power plant had a capacity of 80MW. Other particulars of the project were not reported.","Electricity generation","Biomass","China","80","MW","East Asia and Pacific"
"78","Hartha Thermal Power Station Rehabilitation Project (Phase 2) Unit I","The project scope includes the rehabilitation of the existing Hartha Thermal Power Station Unit I located in Basra Governorate, Iraq. The project is located in Basra Governorate, Iraq. The total capacity is expected to reach the peak of 200 MW after the rehabilitation. It is being constructed by Mitsubishi Hitachi Power Systems (MHPS). The sponsor is Ministry of Electricity while the finance of $191 million is provided by JICA. Contract was awarded on August 5, 2017 and works are expected to be completed by March, 2021.","Electricity Generation","Heat","Iraq","200","MW","Middle East and North Africa"
"79","Hechi City Urban and Rural Solid Waste Incineration Power Plant","On August 2, 2017, construction of the first phase of a solid waste incineration power plant commenced in Hechi City, Guangxi Zhuang Autonomous Region. The sponsor of this Build Operate Transfer project was a local private company Mizuda Group. The total investment was US$ 37.00 million (RMB 250 million) and Mizuda Group had a 100% stake in the project. The power plant had a power generation capacity of 12MW. It could process 600 tons of solid waste per day. A special purpose vehicle Hechi Wangneng Environmental Protection Power Company Limited was established to implement the project. Other particulars of the project were not reported.","Electricity generation","Waste","China","22","MW","East Asia and Pacific"
"80","Hermosillo Solar Plant","The project entails the development of a 105 MW solar farm located in Hermosillo municipality, Sonora state. There will be installation of about 400,000 solar panels on a 300-ha (741 acres) land plot in Hermosillo municipality. 
The project is initiated on a merchant basis by Iberdrola SA. 

The generated power will be sold to the private customers under the new Wholesale Electricity Market. The project is covered with  long term PPAs with private customers.

The construction of the plant commenced in August 2017 and thus considered financial closure data. As of December 2017, there are no financing details besides the estimated investment cost - $135 million. 
 It is expected that the plant will be operational in 2018.","Electricity generation","Solar","Mexico","105","MW","Latin America and the Caribbean"
"81","Hidronormandia Plant","Hidronormandia plant is a 49.6 MW run-of-river hydroelectric power facility on the Upano River in southwest Ecuador. Once completed, this renewable energy plant is expected to produce 338.6 GW/h of electricity a year, which should meet the needs of around 170,000 households.

Hidronormandia S.A is a special purpose vehicle incorporated in Ecuador to develop and construct the plant on behalf of the sponsors - Ecuaenergia and NormanTrust Group holding 60 and 40 per cent, respectively. 

To the best of our knowledge, the project company has not entered into a long -term PPA. However, Ecuador enjoys a competitive wholesale market and output would most probably be sold to the spot market.

Financial closure was achieved on February 20, 2017. The Inter-American Investment Corporation has closed a USD78 million financing package backing the project. The total cost of the plant is USD111.4 million and the financing includes:  a $44 million IIC loan – comprising an A loan of $10 million and a B loan of $34 million from Cordiant, Oikocredit, Triodos Groenfonds and Corporacion Interamericana para el Financiamiento de Infraestructura. It also includes co-loans from FMO and the Canadian Climate Fund for the Private Sector in the Americas for $24 million and $10 million. The loans have a 11-year tenor.","Electricity generation","Hydro","Ecuador","46.2","MW","Latin America and the Caribbean"
"82","Hormozgan’s power plant","The project entails the construction, finance and operation of a new Thermal Power Plant located in Hormozan, Iran. The total capacity is expected to be 1400 MW (4x350 MW). The project is being jointly implemented by the Russian company - Technopromexport and Iranian TPPHC. Investment stands at around $1,903 billion. The state-owned Iranian Bank of Industry and Mine and state-owned Russian Vnesheconombank will finance the cost of the engineering, procurement and construction with $0.24 billion and $1.36 billion, respectively. Contract was awarded in September 14th, 2017. Plant is expected to be completed by 2022.","Electricity Generation","Steam","Iran, Islamic Rep.","1400","MW","Middle East and North Africa"
"83","Horus Solar PV Plant","The project entails the construction, development and operation of a 50 MW solar PV plant within Egypt’s New and Renewable Energy Agency (NREA)’s 37.5 km2 Benban 1.8 GW PV solar park comprising 39 separate PV plots near Benban village, close to Aswan city, in the Aswan Governorate of Upper Egypt.  Horus Solar Energy SAE is the project company that will undertake the project development and is owned almost entirely (99.9%) by Alcazar Energy Partners Limited (Alcazar) and by Cabli Power Cables Manufacturing  (0.1% ).

The EPC contract will be conducted by a joint venture of TSK and Environmena.
This is a greenfield project initiated under a BOO modality. The project company was awarded the contract on a license scheme with a predetermined tariff rate. The state-owned Egyptian Electricity and Transmission Company will offtake power from  the project under 25-year PPA.

Required investment for the plant is estimated at $68.7 million and is being funded via debt and equity as 76:24. Loans were provided by IFC ($19.25 million) from its own account and further syndicated $33.25 million to CDC Group ($18.25 million), Finnfund ($6 million), and Arab Bank Group ($9 million).
Financing closed on October 29th, 2017. OeEB was reported to take $5 million debt in the project in November 2017, acquiring $2.5 million each from IFC and CDC.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"84","HQ Peat-fired Power Plant","The project entails the development and construction of 80 MW Peat-Fired Power Plant located in Gisagara district, Southern Province. Yumn Ltd., project company, will undertake the project on behalf of the sponsors - Hakan Mining owning 51 per cent and Quantum Power with 49 per cent.

The power station is launched under a Build Operate, Own and Transfer (BOOT) basis and a 26-year Power Purchase Agreement with Rwanda’s Energy, Water and Sanitation Authority . The payments under the PPA will be split between fixed capacity (85%) and variable energy (15%) components. EWSA’s obligations under the PPA will be fully covered by a sovereign guarantee. After the construction HQ power will operate the plant for 26 years and then transfer it to the Government of Rwanda. It involves construction and operations of both peat harvesting facilities and power generation facilities. The Project has a second phase, which has an additional 40 MW of capacity. 

Financial closure was achieved on February 1st, 2017. No information has been disclosed regarding sponsors' equity contribution. The Africa Finance Corporation (AFC) arranged a senior debt facility of $225 million and contributed $75 million of its own money as well as a $35 million underwriting commitment. Finland’s development agency Finnfund was lead arranger of the junior debt and provided $10 million of a mezzanine debt tranche. Other DFIs on the deal included the Eastern and Southern African Trade and Development Bank; the African Export-Import Bank; the Development Bank of Rwanda; and the Export-Import Bank of India.

The construction is expected to be completed in 36 Months.","Electricity generation","Biomass","Rwanda","80","MW","Sub-Saharan Africa"
"85","Hwange Power Station Expansion","The project entails the construction, finance and operation of an additional two thermal (coal-fired) power station units (7, 8) located in Matabeleland North Province, Zimbabwe. The total capacity is expected to rise by 600 MW to 1520 MW. Power facility is being constructed by the Chinese company - SinoHydro. Investment stands at $1600 million. The sponsor is Zimbabwe Power Company which is contributing $430 million while Import Bank is financing the cost of the engineering, procurement and construction contract through a Chinese government backed project loan of $1170 million. Financial close took place on December 21, 2017. Plant is expected to be completed by 2018.","Electricity Generation","Coal","Zimbabwe","600","MW","Sub-Saharan Africa"
"86","Infinity Solar Portfolio","The project envisages the construction and operation of two solar PV plants of 30 MW and 50 MW capacity located in Ben Ban, Aswan governorate in Upper Egypt.  Infinity for Solar Energy and IB Vogt are developing the projects. 

The plants are being procured under the country’s feed in tariff (FIT) round two program.
This is a greenfield project initiated on a BOO basis with a predetermined tariff rate. Egypt’s Electricity and Transmission Company will purchase power from the projects under 25-year power purchase agreements. 

Total investment for the two farms is estimated at $115.7 million and is being funded through 75:25 debt to equity. Financial close took place on October 26th, 2017. Lenders to the project  are EBRD ($44 mn), FMO ($29 mn) and Green Climate Fund (GCF) ($14 mn). The EBRD syndicated the$14 million to 	Green Climate Fund (GCF). The remaining cost is covered by equity contributions from the sponsors ($28.7 million in total).","Electricity generation","Solar","Egypt, Arab Rep.","100","MW","Middle East and North Africa"
"87","Inner Mongolia Zhirui Pumped Storage Power Station","The project entails the construction, finance and operation of a new Inner Mongolia Zhirui Pumped Storage Power Station. The total capacity of the facility is 1200 MW. The sponsor is the State Grid and covers the whole cost of the project, equal to $1.263 billion. Construction start was on December 23, 2017.","Electricity Generation","Hydro","China","1200","MW","East Asia and Pacific"
"88","Jajarm Solar Park","In 2016, the Renewable Energy Organization of Iran and a group of investors from Switzerland (Ecofinance Company) and Italy signed a contract to build a solar power plant in Jajarm. Based on the contract, the solar plant with a capacity of 30 MW will be wholly designed, built, installed and launched by the European firm.
Investors  began the construction of the solar plant in July 2017.
In line with its declared policy to raise investments in renewables, the government will buy the electricity from renewable plants at a tariff that is 17 percent more than the regular price and will increase the tariff by an additional 30 percent if domestic equipment are used in building the plants. The duration of the offtake agreement was not disclosed. 

Swiss Ecofinance Company will cooperate with local firm Hamoun Mehr Afarin for the construction of the plant. The PV facility will be installed on a 60-ha (148-acre) site in proximity to a 400-kV power station. It will use locally-made components, except for the PV panels and inverters. Once operational, its output will be supplied to the cities of Garmeh and Jajarm in order for them to avoid future power deficits.","Electricity generation","Solar","Iran, Islamic Rep.","35","MW","Middle East and North Africa"
"89","Jalisco Solar 1","The project scope comprises the construction and operation of a 8 MW solar PV plant located in Governor of Jalisco, Guadalajara, Zacoalco de Torres. The plant is one of the country’s first merchant solar projects after the energy reform was introduced. As such the facility may sell output to the wholesale market in real time and to large private customers. 
 
The electricity produced will be enough to electrify 16,000 households. The project involves the installation of more than 25,000 solar panels. The Jalisco 1 solar plant was built by Mexican developer Fortius Electromecánica, while modules for the project were provided by the Chinese manufacturer Trina Solar.
The project was completed with their strategic partners (Trina Solar, Alion Energy and ABB). 

The total investment cost amounts to $14 million and to the best of our knowledge is entirely equity financed. A second phase is to be built in cooperation with Tesla's Solar city on a later stage. The capacity of the second phase will be 8 MW, for a total of 16 MW. 
Since neither construction start nor financial close dates were available, for the purpose of this database, financial closure was estimated as the inauguration date - 25 April 2017.","Electricity generation","Solar","Mexico","8","MW","Latin America and the Caribbean"
"90","Janardan Wind Energy","The project entails the development of a 20 MW wind power plant at District Jodhpur, in the State of Rajasthan.  Janardan Wind Energy Pvt Ltd is the SPV implementing the project on behalf of the sponsor -   LNB Group.

This is a greenfield project under BOO modality. The project company has signed a 25-year PPA with  NTPC for the entire capacity at quoted tariff rate of Rs. 5.06 per unit.

Project cost is $19.3 million and is being funded through 74:26 debt to equity. HDFC Bank provided the debt ($14.27 million), with equity of $5.05 million. Financial closure occurred  on February 9, 2017.  The first phase of 10 MW was commissioned on March 30, 2017 and the second phase of 10 MW was commissioned on April 18, 2017. Both the phases have been commissioned within the PPA stipulated scheduled commissioning date of July 12, 2017.","Electricity generation","Wind","India","10","MW","South Asia"
"91","Jinko Power Huancheng 100MW Solar Power Plant","On May 19, 2017, construction of the Huancheng 100MW Solar Power Plant commenced in Huancheng Town, Weishan County, Shandong Province.  The sponsor of this Build Operate Transfer project was a local private company Jinko Power Co., Ltd. The total investment was US$ 123.64 million (RMB 850 million) and Jinko Power had a 100% stake in the project. The power plant had a capacity of 100MW. The concession term was 25 years. Other particulars of the project were not reported.","Electricity generation","Solar","China","100","MW","East Asia and Pacific"
